UnfallID;UJAHR;UMONAT;Jahr-Monat;UWOCHENTAG;USTUNDE;UKATEGORIE;UART;UTYP1;ULICHTVERH;STRZUSTAND;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
8,20E+18;2020;5;2020-05;3;21;3;0;1;0;0;1;0;0;0;0;0;511477,7083;5281778,173;9,152949829;47,68928826
8,20E+18;2020;6;2020-06;5;12;3;5;3;0;1;0;1;0;1;0;0;512443,469;5280536,377;9,16578392;47,67809714
8,20E+18;2020;6;2020-06;2;21;3;0;1;1;0;1;0;0;0;0;0;514121,6121;5280067,832;9,188126494;47,67384686
8,20E+18;2020;6;2020-06;2;17;3;0;6;0;0;1;0;0;0;0;1;513381,2015;5281024,142;9,178292191;47,68246715
8,20E+18;2020;6;2020-06;6;11;3;1;5;0;0;1;1;0;0;0;0;512353,215;5280626,713;9,164584031;47,67891168
8,20E+18;2020;6;2020-06;5;10;3;0;1;0;0;1;0;0;0;0;0;513218,4533;5279898,259;9,176089644;47,67234019
8,20E+18;2020;6;2020-06;2;13;3;0;3;0;0;1;1;0;0;0;0;512791,0438;5278376,206;9,17035137;47,65865386
8,20E+18;2020;6;2020-06;7;22;3;0;1;2;0;1;0;0;0;0;0;512848,0172;5280172,916;9,171162983;47,67481893
8,20E+18;2020;6;2020-06;2;12;3;5;3;0;0;1;1;0;0;0;0;511138,1358;5281493,217;9,148417491;47,68673027
8,20E+18;2020;6;2020-06;3;18;3;0;7;0;0;1;0;0;0;0;0;512722,9938;5278759,301;9,169456237;47,66210216
8,20E+18;2020;6;2020-06;1;11;3;2;6;0;0;0;0;0;1;0;1;512787,4841;5278416,625;9,170305145;47,6590176
8,20E+18;2020;6;2020-06;4;23;3;1;5;2;0;1;1;0;0;0;0;514402,1625;5279534,566;9,191846347;47,66904253
8,20E+18;2020;6;2020-06;1;20;3;5;7;0;0;1;1;0;0;0;0;512871,2338;5278350,885;9,171418591;47,65842443
8,20E+18;2020;6;2020-06;5;11;3;5;2;0;0;0;1;0;0;0;0;513804,714;5280471,845;9,18391761;47,67748887
8,20E+18;2020;6;2020-06;7;20;3;2;6;0;0;0;1;0;0;0;0;512296,2528;5280657,134;9,163825973;47,67918649
8,20E+18;2020;6;2020-06;7;2;3;0;1;2;0;1;0;0;0;0;0;512826,2612;5278356,769;9,170819823;47,65847827
8,20E+18;2020;6;2020-06;1;11;2;6;2;0;0;1;0;1;0;0;0;512244,8248;5280819,069;9,163145331;47,6806445
8,20E+18;2020;7;2020-07;6;10;3;0;1;0;0;1;0;0;0;0;0;513361,6976;5284419,02;9,178136334;47,71301337
8,20E+18;2020;7;2020-07;4;22;3;1;5;2;0;1;1;0;0;0;0;512651,3556;5278401,465;9,168491739;47,65888387
8,20E+18;2020;7;2020-07;1;15;3;0;1;0;0;1;0;0;0;0;0;512564,5697;5284190,853;9,167502603;47,71097642
8,20E+18;2020;7;2020-07;5;18;3;0;1;0;0;1;0;0;0;0;0;512001,389;5281617,986;9,159923869;47,68783744
8,20E+18;2020;7;2020-07;5;3;3;8;1;2;1;0;1;0;0;0;0;511157,0016;5279918,712;9,148628639;47,67256308
8,20E+18;2020;7;2020-07;3;12;3;0;7;0;0;0;0;0;0;0;1;512287,8572;5280795,234;9,163718005;47,68042922
8,20E+18;2020;7;2020-07;1;0;3;9;1;2;0;1;0;0;0;0;0;510889,04;5282140,766;9,145114421;47,69256093
8,20E+18;2020;7;2020-07;3;16;3;5;3;0;0;0;1;0;0;0;0;512938,598;5280341,554;9,172374703;47,67633447
8,20E+18;2020;7;2020-07;2;13;3;5;3;0;0;0;1;0;1;0;0;511522,6379;5280578,309;9,153516872;47,6784915
8,20E+18;2020;7;2020-07;2;18;2;4;1;0;0;0;1;0;1;0;0;513738,3523;5281701,755;9,183072204;47,68855657
8,20E+18;2020;7;2020-07;3;19;3;6;7;0;0;0;1;1;0;0;0;513132,7247;5278800,696;9,174914618;47,66246643
8,20E+18;2020;7;2020-07;7;8;3;6;6;0;0;0;1;1;0;0;0;515099,2708;5281427,482;9,2011977;47,6860584
8,20E+18;2020;7;2020-07;2;15;3;3;6;0;0;1;1;0;0;0;0;512849,3366;5286464,999;9,171366001;47,73143264
8,20E+18;2020;7;2020-07;6;14;2;0;1;0;0;1;0;0;0;0;0;509865,2088;5287950,831;9,131601799;47,74485405
8,20E+18;2020;7;2020-07;6;7;2;5;2;0;0;1;1;0;0;0;0;512015,634;5280343,33;9,160078599;47,67636826
8,20E+18;2020;7;2020-07;5;12;3;0;1;0;0;0;0;0;1;0;0;513412,3672;5279232,967;9,178652426;47,66635012
